RowName,Name,Type,DetailType,Grade
2003041000,[SET-][나이트]일반 한손검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Common
2003042000,[SET-][나이트]일반 한손검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Common
2003141000,[SET-][나이트]고급 한손검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Rare
2003142000,[SET-][나이트]고급 한손검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Rare
2003143000,[SET-][나이트]고급 한손검 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Rare
2003241000,[SET-][나이트]희귀 한손검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Unique
2003242000,[SET-][나이트]희귀 한손검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Unique
2003243000,[SET-][나이트]희귀 한손검 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Unique
2003341000,[SET-][나이트]영웅 한손검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Sword,EUniversalGrade_Epic
2004041000,[SET-][나이트]일반 대검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Common
2004042000,[SET-][나이트]일반 대검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Common
2004141000,[SET-][나이트]고급 대검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Rare
2004142000,[SET-][나이트]고급 대검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Rare
2004241000,[SET-][나이트]희귀 대검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Unique
2004242000,[SET-][나이트]희귀 대검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Unique
2004341000,[SET-][나이트]영웅 대검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_GreatSword,EUniversalGrade_Epic
2000041000,[SET-][아처]일반 활 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Common
2000042000,[SET-][아처]일반 활 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Common
2000141000,[SET-][아처]고급 활 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Rare
2000142000,[SET-][아처]고급 활 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Rare
2000143000,[SET-][아처]고급 활 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Rare
2000241000,[SET-][아처]희귀 활 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Unique
2000242000,[SET-][아처]희귀 활 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Unique
2000243000,[SET-][아처]희귀 활 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Unique
2000341000,[SET-][아처]영웅 활 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Bow,EUniversalGrade_Epic
2001041000,[SET-][어쌔신]일반 단검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Common
2001042000,[SET-][어쌔신]일반 단검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Common
2001141000,[SET-][어쌔신]고급 단검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Rare
2001142000,[SET-][어쌔신]고급 단검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Rare
2001143000,[SET-][어쌔신]고급 단검 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Rare
2001241000,[SET-][어쌔신]희귀 단검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Unique
2001242000,[SET-][어쌔신]희귀 단검 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Unique
2001243000,[SET-][어쌔신]희귀 단검 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Unique
2001341000,[SET-][어쌔신]영웅 단검 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Dagger,EUniversalGrade_Epic
2002041000,[SET-][위자드]일반 지팡이 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Common
2002042000,[SET-][위자드]일반 지팡이 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Common
2002141000,[SET-][위자드]고급 지팡이 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Rare
2002142000,[SET-][위자드]고급 지팡이 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Rare
2002143000,[SET-][위자드]고급 지팡이 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Rare
2002241000,[SET-][위자드]희귀 지팡이 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Unique
2002242000,[SET-][위자드]희귀 지팡이 티어 Tier2,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Unique
2002243000,[SET-][위자드]희귀 지팡이 티어 Tier3,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Unique
2002341000,[SET-][위자드]영웅 지팡이 티어 Tier1,EItemType_Weapon,EItemDetailType_Weapon_Staff,EUniversalGrade_Epic
2013041000,[SET-][나이트]일반 방패 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Sword,EUniversalGrade_Common
2013141000,[SET-][나이트]고급 방패 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Sword,EUniversalGrade_Rare
2013241000,[SET-][나이트]희귀 방패 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Sword,EUniversalGrade_Unique
2013341000,[SET-][나이트]영웅 방패 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Sword,EUniversalGrade_Epic
2014041000,[SET-][나이트]일반 완갑 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_GreatSword,EUniversalGrade_Common
2014141000,[SET-][나이트]고급 완갑 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_GreatSword,EUniversalGrade_Rare
2014241000,[SET-][나이트]희귀 완갑 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_GreatSword,EUniversalGrade_Unique
2014341000,[SET-][나이트]영웅 완갑 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_GreatSword,EUniversalGrade_Epic
2010041000,[SET-][아처]일반 화살 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Bow,EUniversalGrade_Common
2010141000,[SET-][아처]고급 화살 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Bow,EUniversalGrade_Rare
2010241000,[SET-][아처]희귀 화살 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Bow,EUniversalGrade_Unique
2010341000,[SET-][아처]영웅 화살 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Bow,EUniversalGrade_Epic
2011041000,[SET-][어쌔신]일반 독액 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Dagger,EUniversalGrade_Common
2011141000,[SET-][어쌔신]고급 독액 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Dagger,EUniversalGrade_Rare
2011241000,[SET-][어쌔신]희귀 독액 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Dagger,EUniversalGrade_Unique
2011341000,[SET-][어쌔신]영웅 독액 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Dagger,EUniversalGrade_Epic
2012041000,[SET-][위자드]일반 양피지 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Staff,EUniversalGrade_Common
2012141000,[SET-][위자드]고급 양피지 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Staff,EUniversalGrade_Rare
2012241000,[SET-][위자드]희귀 양피지 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Staff,EUniversalGrade_Unique
2012341000,[SET-][위자드]영웅 양피지 티어 Tier1,EItemType_SubWeapon,EItemDetailType_SubWeapon_Staff,EUniversalGrade_Epic
2020041001,[SET-][공용]일반 투구 티어 Tier1,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Common
2020041002,[SET-][공용]일반 투구 티어 Tier1,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Common
2020041003,[SET-][공용]일반 투구 티어 Tier1,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Common
2020042001,[SET-][공용]일반 투구 티어 Tier2,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Common
2020042002,[SET-][공용]일반 투구 티어 Tier2,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Common
2020042003,[SET-][공용]일반 투구 티어 Tier2,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Common
2020141001,[SET-][공용]고급 투구 티어 Tier1,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Rare
2020141002,[SET-][공용]고급 투구 티어 Tier1,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Rare
2020141003,[SET-][공용]고급 투구 티어 Tier1,EItemType_Armor,EItemDetailType_Armor_Helm,EUniversalGrade_Rare
